detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
357123,357124,357126,357126,closed,timeout,18574.25,18569.0,18574.0,18569.25,18586.25,18542.25,5.25,4.75,4.25,85.0,10.0,0.5,3.0,3.0,2.75,2024-01-03 14:45:00+00:00,2024-01-03 14:45:00+00:00,2024-01-03 14:48:00+00:00,2024-01-03 14:48:00+00:00,failed_break_rejection_short_open_6ef6a1fc55e2,-1,market,0.0,3,1,12,32,50085.0
357139,357140,357140,357140,closed,target,18575.5,18543.5,18575.25,18543.75,18587.5,18543.5,32.0,31.5,31.0,620.0,10.0,0.5,1.0,1.0,4.75,2024-01-03 15:01:00+00:00,2024-01-03 15:01:00+00:00,2024-01-03 15:02:00+00:00,2024-01-03 15:04:00+00:00,failed_break_rejection_short_open_6ef6a1fc55e2,-1,market,0.0,3,1,12,32,50705.0
358480,358481,358483,358483,closed,timeout,18426.0,18425.0,18425.75,18425.25,18438.0,18394.0,1.0,0.5,0.0,0.0,10.0,0.5,3.0,3.0,9.5,2024-01-04 14:37:00+00:00,2024-01-04 14:37:00+00:00,2024-01-04 14:40:00+00:00,2024-01-04 14:40:00+00:00,failed_break_rejection_short_open_6ef6a1fc55e2,-1,market,0.0,3,1,12,32,50705.0
358509,358510,358512,358512,closed,stop,18431.5,18443.5,18431.25,18443.75,18443.5,18399.5,-12.0,-12.5,-13.0,-260.0,10.0,0.5,3.0,3.0,24.0,2024-01-04 15:06:00+00:00,2024-01-04 15:06:00+00:00,2024-01-04 15:09:00+00:00,2024-01-04 15:09:00+00:00,failed_break_rejection_short_open_6ef6a1fc55e2,-1,market,0.0,3,1,12,32,50445.0
358522,358523,358525,358525,closed,timeout,18462.75,18453.25,18462.5,18453.5,18474.75,18430.75,9.5,9.0,8.5,170.0,10.0,0.5,3.0,3.0,0.5,2024-01-04 15:19:00+00:00,2024-01-04 15:19:00+00:00,2024-01-04 15:22:00+00:00,2024-01-04 15:22:00+00:00,failed_break_rejection_short_open_6ef6a1fc55e2,-1,market,0.0,3,1,12,32,50615.0
358549,358550,358552,358552,closed,timeout,18463.75,18468.0,18463.5,18468.25,18475.75,18431.75,-4.25,-4.75,-5.25,-105.0,10.0,0.5,3.0,3.0,10.25,2024-01-04 15:46:00+00:00,2024-01-04 15:46:00+00:00,2024-01-04 15:49:00+00:00,2024-01-04 15:49:00+00:00,failed_break_rejection_short_open_6ef6a1fc55e2,-1,market,0.0,3,1,12,32,50510.0
358552,358553,358555,358555,closed,timeout,18468.25,18478.5,18468.0,18478.75,18480.25,18436.25,-10.25,-10.75,-11.25,-225.0,10.0,0.5,3.0,3.0,11.25,2024-01-04 15:49:00+00:00,2024-01-04 15:49:00+00:00,2024-01-04 15:52:00+00:00,2024-01-04 15:52:00+00:00,failed_break_rejection_short_open_6ef6a1fc55e2,-1,market,0.0,3,1,12,32,50285.0
358556,358557,358559,358559,closed,timeout,18472.75,18469.75,18472.5,18470.0,18484.75,18440.75,3.0,2.5,2.0,40.0,10.0,0.5,3.0,3.0,7.75,2024-01-04 15:53:00+00:00,2024-01-04 15:53:00+00:00,2024-01-04 15:56:00+00:00,2024-01-04 15:56:00+00:00,failed_break_rejection_short_open_6ef6a1fc55e2,-1,market,0.0,3,1,12,32,50325.0
359844,359845,359847,359847,closed,timeout,18423.75,18422.75,18423.5,18423.0,18435.75,18391.75,1.0,0.5,0.0,0.0,10.0,0.5,3.0,3.0,12.0,2024-01-05 14:36:00+00:00,2024-01-05 14:36:00+00:00,2024-01-05 14:39:00+00:00,2024-01-05 14:39:00+00:00,failed_break_rejection_short_open_6ef6a1fc55e2,-1,market,0.0,3,1,12,32,50325.0
359901,359902,359903,359903,closed,stop,18490.75,18502.75,18490.5,18503.0,18502.75,18458.75,-12.0,-12.5,-13.0,-260.0,10.0,0.5,2.0,2.0,12.75,2024-01-05 15:33:00+00:00,2024-01-05 15:33:00+00:00,2024-01-05 15:35:00+00:00,2024-01-05 15:36:00+00:00,failed_break_rejection_short_open_6ef6a1fc55e2,-1,market,0.0,3,1,12,32,50065.0
359905,359906,359908,359908,closed,timeout,18503.0,18496.0,18502.75,18496.25,18515.0,18471.0,7.0,6.5,6.0,120.0,10.0,0.5,3.0,3.0,7.0,2024-01-05 15:37:00+00:00,2024-01-05 15:37:00+00:00,2024-01-05 15:40:00+00:00,2024-01-05 15:40:00+00:00,failed_break_rejection_short_open_6ef6a1fc55e2,-1,market,0.0,3,1,12,32,50185.0
361211,361212,361213,361213,closed,stop,18494.75,18506.75,18494.5,18507.0,18506.75,18462.75,-12.0,-12.5,-13.0,-260.0,10.0,0.5,2.0,2.0,14.5,2024-01-08 14:38:00+00:00,2024-01-08 14:38:00+00:00,2024-01-08 14:40:00+00:00,2024-01-08 14:41:00+00:00,failed_break_rejection_short_open_6ef6a1fc55e2,-1,market,0.0,3,1,12,32,49925.0
